Region,Country,Global Rank,Regional Rank,Social Factors Index,"Life Expectancy
(Years)","Median Age
(Years)","Mean Years of Schooling
(Years)","Government Spend on Education 
(% of GDP)",Employment to Population Ratio (%),Population Living in Poverty (%)
Middle East,Lebanon,72,8,84.9,78.9,29.6,8.7,4.5,2.4,
Africa,Lesotho,130,23,58.5,54.3,24.0,6.5,2.5,6.5,26.9
Africa,Liberia,137,29,52.3,64.1,19.4,4.8,,2.6,40.9
Africa,Libya,94,4,79.9,72.9,28.8,7.6,4.2,,
Europe,Lithuania,24,16,94.0,75.9,45.1,13.1,,4.0,
Europe,Luxembourg,22,14,94.6,82.3,39.7,12.3,2.1,4.0,
Africa,Madagascar,149,41,40.7,67.0,19.6,6.1,4.1,3.2,77.6
Africa,Malawi,151,43,39.5,64.3,18.1,4.7,5.2,4.7,70.3
Asia-Pacific,Malaysia,56,10,87.7,76.2,30.3,10.4,4.4,4.5,
Africa,Mali,148,40,40.8,59.3,16.3,2.4,3.6,3.8,49.7
Europe,Malta,33,23,92.4,82.5,42.6,11.3,5.2,5.2,
Africa,Mauritania,115,14,67.4,64.9,20.1,4.7,,2.6,6.0
Africa,Mauritius,69,1,85.3,75.0,37.5,9.5,2.2,4.8,
Americas,Mexico,80,14,82.7,75.1,29.2,8.8,4.1,4.9,1.7
Europe,Moldova,49,34,89.2,71.9,37.6,11.7,2.9,5.5,0.0
Asia-Pacific,Mongolia,73,13,84.7,69.9,28.2,10.3,2.0,4.1,0.5
Africa,Morocco,101,8,76.3,76.7,29.5,5.6,6.6,,1.0
Africa,Mozambique,152,44,38.6,60.9,17.6,3.5,3.8,5.6,62.9
Asia-Pacific,Myanmar,107,22,70.7,67.1,29.0,5.0,2.9,2.0,2.0
Africa,Namibia,113,13,69.1,63.7,21.8,7.0,2.0,3.1,13.4
Asia-Pacific,Nepal,117,28,66.5,70.8,24.6,5.0,1.9,5.2,15.0
Europe,Netherlands,19,12,94.9,82.3,43.3,12.4,4.1,5.5,
Asia-Pacific,New Zealand,11,3,95.8,82.3,38.0,12.8,,6.4,
Americas,Nicaragua,99,22,77.5,74.5,26.5,6.9,7.5,4.3,3.2
Africa,Niger,147,39,43.6,62.4,15.2,2.1,5.1,4.9,44.5
Africa,Nigeria,142,34,47.5,54.7,18.1,6.7,8.0,,53.5
Europe,North Macedonia,75,41,84.3,75.8,39.1,9.8,5.5,,4.4
Europe,Norway,8,4,96.1,82.4,39.8,12.9,3.7,8.0,
Middle East,Oman,64,6,86.8,77.9,30.6,9.7,4.8,5.0,
Asia-Pacific,Pakistan,109,24,70.2,67.3,22.8,5.2,7.7,2.9,3.9
Americas,Panama,52,6,88.3,78.5,29.7,10.2,6.3,,
Asia-Pacific,Papua New Guinea,134,31,53.3,64.5,22.4,4.7,5.2,1.9,38.0
Americas,Paraguay,84,15,81.9,74.3,26.3,8.5,5.5,3.4,1.6
Americas,Peru,70,10,85.2,76.7,31.0,9.7,4.0,3.7,2.6
Asia-Pacific,Philippines,88,19,80.8,71.2,25.7,9.4,7.6,,6.1
Europe,Poland,28,20,93.6,78.7,41.7,12.5,3.8,4.6,
Europe,Portugal,57,37,87.4,82.1,46.2,9.3,6.9,4.9,
Middle East,Qatar,55,3,87.8,80.2,32.3,9.7,5.6,2.9,
Europe,Romania,47,33,89.3,76.1,43.2,11.1,5.5,3.0,
Europe,Russia,39,29,90.5,72.6,39.6,12.2,3.9,3.7,
Africa,Rwanda,143,35,47.0,69.0,20.0,4.4,4.8,3.1,55.5
Middle East,Saudi Arabia,62,5,86.9,75.1,31.8,10.2,4.8,,
Africa,Senegal,138,30,51.2,67.9,18.5,3.2,4.6,4.7,38.0
Europe,Serbia,60,39,87.2,76.0,41.6,11.2,4.7,3.7,5.5
Africa,Sierra Leone,144,36,46.3,54.7,19.4,3.7,4.0,7.1,40.1
Asia-Pacific,Singapore,30,6,93.6,83.6,42.2,11.6,6.5,2.9,
Europe,Slovak Republic,27,19,93.7,77.5,41.2,12.7,3.7,3.9,
Europe,Slovenia,17,10,95.1,81.3,44.5,12.7,5.2,4.8,
Africa,South Africa,103,10,74.5,64.1,27.6,10.2,,6.2,18.9
Europe,Spain,41,31,90.3,83.6,44.9,10.3,4.7,4.2,
Asia-Pacific,Sri Lanka,53,9,88.3,77.0,34.0,10.6,2.7,2.1,0.8
Africa,Sudan,123,18,62.4,65.3,19.7,3.8,2.5,,12.7
Americas,Suriname,77,12,83.3,71.7,29.0,9.3,4.6,,
Europe,Sweden,15,8,95.4,82.8,41.1,12.5,3.0,7.7,
Europe,Switzerland,2,2,97.8,83.8,43.1,13.4,4.1,5.1,
Asia-Pacific,Taiwan,,,,,,,3.7,,
Asia-Pacific,Tajikistan,74,14,84.5,71.1,22.4,10.7,4.2,5.2,4.8
Africa,Tanzania,136,28,52.4,65.5,18.0,6.1,5.4,3.7,49.1
Asia-Pacific,Thailand,81,16,82.3,77.2,40.1,7.9,5.5,4.1,0.0
Africa,Togo,141,33,47.6,61.0,19.4,4.9,,5.4,49.8
Americas,Trinidad and Tobago,54,7,88.2,73.5,36.2,11.0,4.9,,
Africa,Tunisia,91,3,80.4,76.7,32.8,7.2,3.8,6.6,0.2
Middle East,Turkey,79,9,82.9,77.7,31.5,8.1,,,
Asia-Pacific,Turkmenistan,76,15,84.3,68.2,26.9,10.3,,,
Africa,Uganda,133,26,54.9,63.4,16.7,6.2,5.8,2.5,41.7
Europe,Ukraine,51,36,88.5,72.1,41.2,11.4,,5.4,0.0
Middle East,United Arab Emirates,32,2,92.5,78.0,32.6,12.1,2.9,,
Europe,United Kingdom,6,3,96.5,81.3,40.5,13.2,5.0,5.5,
Americas,United States,10,2,95.9,78.9,38.3,13.4,2.3,5.0,
Americas,Uruguay,71,11,85.0,77.9,35.8,8.9,,4.8,
Asia-Pacific,Uzbekistan,45,8,89.3,71.7,27.8,11.8,3.6,5.3,
Asia-Pacific,Vietnam,86,18,81.7,75.4,32.5,8.3,2.4,4.2,1.9
Middle East,"Yemen, Rep.",129,11,58.8,66.1,20.2,3.2,,,18.8
Africa,Zambia,139,31,50.6,63.9,17.6,7.2,,4.7,57.5
Africa,Zimbabwe,120,16,62.9,61.5,18.7,8.5,,4.6,33.9
